/opt/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  torch.utils._pytree._register_pytree_node(
##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.22017294755622524		 Test MAE: 0.022717510163784028
             Algebraic sqr dist: 4.659089878627232	  Val Algebraic sqr dist: 21.895174662272137
             RE1 dist: 2.329544939313616		 Val RE1 dist: 10.947588602701822
             SED dist: 1.0041634695870536		 Val SED dist: 3.8872852325439453


Epoch 2184/2500: Training Loss: 0.11633398873465402		 Val Loss: 0.36989935239156085
             Training MAE: 0.027639109641313553		 Val MAE: 0.027152955532073975
             Algebraic dist: 1.583893040248326		 Val Algebraic dist: 3.0409533182779946
             Algebraic sqr dist: 5.602175467354911	  Val Algebraic sqr dist: 19.037456512451172
             RE1 dist: 2.8010879516601563		 Val RE1 dist: 9.518728256225586
             SED dist: 1.1412593296595983		 Val SED dist: 3.6794608434041343


Epoch 2185/2500: Training Loss: 0.08783580235072545		 Val Loss: 0.38706783453623456
             Training MAE: 0.02698596753180027		 Val MAE: 0.026678601279854774
             Algebraic dist: 1.299818856375558		 Val Algebraic dist: 2.987092653910319
             Algebraic sqr dist: 3.9870313371930806	  Val Algebraic sqr dist: 17.272624969482422
             RE1 dist: 1.993515886579241		 Val RE1 dist: 8.636312484741211
             SED dist: 0.8576909746442523		 Val SED dist: 3.8516432444254556


Epoch 2186/2500: Training Loss: 0.09592676162719727		 Val Loss: 0.39542635281880695
             Training MAE: 0.026222817599773407		 Val MAE: 0.02527925744652748
             Algebraic dist: 1.3586180550711495		 Val Algebraic dist: 2.958806355794271
             Algebraic sqr dist: 4.148004150390625	  Val Algebraic sqr dist: 21.333192189534504
             RE1 dist: 2.0740020751953123		 Val RE1 dist: 10.666597366333008
             SED dist: 0.9395736694335938		 Val SED dist: 3.936581611633301


Epoch 2187/2500: Training Loss: 0.10847326006208147		 Val Loss: 0.3883226712544759
             Training MAE: 0.02633373811841011		 Val MAE: 0.023796357214450836
             Algebraic dist: 1.4867437090192521		 Val Algebraic dist: 3.1713717778523765
             Algebraic sqr dist: 5.074461146763393	  Val Algebraic sqr dist: 18.993128458658855
             RE1 dist: 2.5372305733816964		 Val RE1 dist: 9.496565500895182
             SED dist: 1.0648004804338729		 Val SED dist: 3.867041905721029


Epoch 2188/2500: Training Loss: 0.10511715752737863		 Val Loss: 0.3581300179163615
             Training MAE: 0.02639317885041237		 Val MAE: 0.024982115253806114
             Algebraic dist: 1.469148908342634		 Val Algebraic dist: 2.997852007548014
             Algebraic sqr dist: 4.848905726841518	  Val Algebraic sqr dist: 19.611111958821613
             RE1 dist: 2.424452863420759		 Val RE1 dist: 9.805555979410807
             SED dist: 1.0310528346470424		 Val SED dist: 3.564413070678711


Epoch 2189/2500: Training Loss: 0.11491597039358957		 Val Loss: 0.385994831720988
             Training MAE: 0.027107277885079384		 Val MAE: 0.025809215381741524
             Algebraic dist: 1.5946580069405691		 Val Algebraic dist: 3.1272977193196616
             Algebraic sqr dist: 5.759482683454241	  Val Algebraic sqr dist: 22.162686665852863
             RE1 dist: 2.8797413417271205		 Val RE1 dist: 11.081344604492188
             SED dist: 1.1282742091587612		 Val SED dist: 3.8418703079223633


Epoch 2190/2500: Training Loss: 0.09958875519888742		 Val Loss: 0.38005228837331134
             Training MAE: 0.02680998481810093		 Val MAE: 0.02501334808766842
             Algebraic dist: 1.4422855922154019		 Val Algebraic dist: 3.0029967625935874
             Algebraic sqr dist: 4.787211390904018	  Val Algebraic sqr dist: 20.500460306803387
             RE1 dist: 2.393605695452009		 Val RE1 dist: 10.250230153401693
             SED dist: 0.9755293709891183		 Val SED dist: 3.7828966776529946


Epoch 2191/2500: Training Loss: 0.10553020068577358		 Val Loss: 0.37778345743815106
             Training MAE: 0.02651027962565422		 Val MAE: 0.02734164334833622
             Algebraic dist: 1.4730300903320312		 Val Algebraic dist: 3.0864461263020835
             Algebraic sqr dist: 4.932152012416295	  Val Algebraic sqr dist: 18.27978006998698
             RE1 dist: 2.4660760062081475		 Val RE1 dist: 9.13989003499349
             SED dist: 1.0350517272949218		 Val SED dist: 3.757963180541992


Epoch 2192/2500: Training Loss: 0.10022070748465402		 Val Loss: 0.36952324708302814
             Training MAE: 0.02823778986930847		 Val MAE: 0.025113729760050774
             Algebraic dist: 1.4236177716936385		 Val Algebraic dist: 3.0031696955362954
             Algebraic sqr dist: 4.601283046177455	  Val Algebraic sqr dist: 20.143348693847656
             RE1 dist: 2.3006415230887276		 Val RE1 dist: 10.071674346923828
             SED dist: 0.9791841779436384		 Val SED dist: 3.67710018157959


Epoch 2193/2500: Training Loss: 0.09593415941510881		 Val Loss: 0.39238182703653973
             Training MAE: 0.027277754619717598		 Val MAE: 0.02557184547185898
             Algebraic dist: 1.3616527012416295		 Val Algebraic dist: 3.0870536168416343
             Algebraic sqr dist: 4.406641496930804	  Val Algebraic sqr dist: 17.74549102783203
             RE1 dist: 2.203320748465402		 Val RE1 dist: 8.872745513916016
             SED dist: 0.9380183628627232		 Val SED dist: 3.9060036341349282


Epoch 2194/2500: Training Loss: 0.10233333451407296		 Val Loss: 0.36296526590983075
             Training MAE: 0.02670411951839924		 Val MAE: 0.028546733781695366
             Algebraic dist: 1.4054406302315847		 Val Algebraic dist: 2.9972686767578125
             Algebraic sqr dist: 4.501253836495536	  Val Algebraic sqr dist: 17.9398676554362
             RE1 dist: 2.250626918247768		 Val RE1 dist: 8.9699338277181
             SED dist: 1.00238276890346		 Val SED dist: 3.607524871826172


Epoch 2195/2500: Training Loss: 0.09138800757271903		 Val Loss: 0.3453214168548584
             Training MAE: 0.027022534981369972		 Val MAE: 0.026229677721858025
             Algebraic dist: 1.3076818193708146		 Val Algebraic dist: 2.755873998006185
             Algebraic sqr dist: 3.899632481166295	  Val Algebraic sqr dist: 16.72394307454427
             RE1 dist: 1.9498162405831474		 Val RE1 dist: 8.361971537272135
             SED dist: 0.8927629743303571		 Val SED dist: 3.4344584147135415


Epoch 2196/2500: Training Loss: 0.10758018493652344		 Val Loss: 0.5472881396611532
             Training MAE: 0.026944700628519058		 Val MAE: 0.03184916079044342
             Algebraic dist: 1.4436819893973214		 Val Algebraic dist: 3.8508472442626953
             Algebraic sqr dist: 4.775314767020089	  Val Algebraic sqr dist: 34.49607594807943
             RE1 dist: 2.3876573835100445		 Val RE1 dist: 17.248037974039715
             SED dist: 1.0549051557268416		 Val SED dist: 5.443801244099935


Epoch 2197/2500: Training Loss: 0.11479998997279577		 Val Loss: 0.42750656604766846
             Training MAE: 0.026750655844807625		 Val MAE: 0.02604283206164837
             Algebraic dist: 1.575641087123326		 Val Algebraic dist: 3.454258918762207
             Algebraic sqr dist: 5.637791224888393	  Val Algebraic sqr dist: 21.44537607828776
             RE1 dist: 2.8188956124441966		 Val RE1 dist: 10.722689310709635
             SED dist: 1.1275343758719307		 Val SED dist: 4.2570037841796875


Epoch 2198/2500: Training Loss: 0.09774015290396554		 Val Loss: 0.41232144832611084
             Training MAE: 0.026150694116950035		 Val MAE: 0.024771617725491524
             Algebraic dist: 1.4214911324637276		 Val Algebraic dist: 3.263978640238444
             Algebraic sqr dist: 4.635476684570312	  Val Algebraic sqr dist: 19.548810323079426
             RE1 dist: 2.317738342285156		 Val RE1 dist: 9.774405797322592
             SED dist: 0.9576903206961496		 Val SED dist: 4.106022834777832


Epoch 2199/2500: Training Loss: 0.0908266476222447		 Val Loss: 0.35312660535176593
             Training MAE: 0.02688279189169407		 Val MAE: 0.025065666064620018
             Algebraic dist: 1.3080073765345983		 Val Algebraic dist: 2.8397372563680015
             Algebraic sqr dist: 3.905111258370536	  Val Algebraic sqr dist: 16.11260223388672
             RE1 dist: 1.952555629185268		 Val RE1 dist: 8.05630111694336
             SED dist: 0.8876095363071986		 Val SED dist: 3.5139729181925454


Epoch 2200/2500: Training Loss: 0.09351976939610072		 Val Loss: 0.6856544017791748
             Training MAE: 0.026025988161563873		 Val MAE: 0.02332901582121849
             Algebraic dist: 1.3025469098772322		 Val Algebraic dist: 4.549538294474284
             Algebraic sqr dist: 3.8875501360212055	  Val Algebraic sqr dist: 36.003674825032554
             RE1 dist: 1.9437750680106027		 Val RE1 dist: 18.001837412516277
             SED dist: 0.9154034205845424		 Val SED dist: 6.840803782145183


Epoch 2201/2500: Training Loss: 0.12396346500941685		 Val Loss: 0.36372772852579754
             Training MAE: 0.027775848284363747		 Val MAE: 0.02534523978829384
             Algebraic dist: 1.5977047511509486		 Val Algebraic dist: 2.9461456934611
             Algebraic sqr dist: 5.728301565987723	  Val Algebraic sqr dist: 19.654027303059895
             RE1 dist: 2.8641512189592633		 Val RE1 dist: 9.827013651529947
             SED dist: 1.2175589425223214		 Val SED dist: 3.6195351282755532


Epoch 2202/2500: Training Loss: 0.12164555958339146		 Val Loss: 0.3716699679692586
             Training MAE: 0.027530264109373093		 Val MAE: 0.027743777260184288
             Algebraic dist: 1.6550855364118304		 Val Algebraic dist: 3.091576894124349
             Algebraic sqr dist: 5.876976231166295	  Val Algebraic sqr dist: 19.973445892333984
             RE1 dist: 2.9384881155831475		 Val RE1 dist: 9.986722946166992
             SED dist: 1.1948699951171875		 Val SED dist: 3.695735295613607


Epoch 2203/2500: Training Loss: 0.11366784232003348		 Val Loss: 0.35766510168711346
             Training MAE: 0.026943432167172432		 Val MAE: 0.026118678972125053
             Algebraic dist: 1.5892295837402344		 Val Algebraic dist: 3.0027894973754883
             Algebraic sqr dist: 5.6117475237165175	  Val Algebraic sqr dist: 20.729270935058594
             RE1 dist: 2.8058737618582588		 Val RE1 dist: 10.364635467529297
             SED dist: 1.1161041259765625		 Val SED dist: 3.5583836237589517


Epoch 2204/2500: Training Loss: 0.11091240474155971		 Val Loss: 0.4683785041173299
             Training MAE: 0.027158565819263458		 Val MAE: 0.023741625249385834
             Algebraic dist: 1.5778821672712053		 Val Algebraic dist: 3.6611340840657554
             Algebraic sqr dist: 5.65751953125	  Val Algebraic sqr dist: 23.896934509277344
             RE1 dist: 2.828759765625		 Val RE1 dist: 11.948468526204428
             SED dist: 1.0881698608398438		 Val SED dist: 4.667764027913411


Epoch 2205/2500: Training Loss: 0.11000692503792898		 Val Loss: 0.3707057237625122
             Training MAE: 0.027121158316731453		 Val MAE: 0.027235109359025955
             Algebraic dist: 1.5561450413295201		 Val Algebraic dist: 3.0418519973754883
             Algebraic sqr dist: 5.424891008649554	  Val Algebraic sqr dist: 20.66803232828776
             RE1 dist: 2.712445504324777		 Val RE1 dist: 10.334016799926758
             SED dist: 1.079268537248884		 Val SED dist: 3.6864941914876304


Epoch 2206/2500: Training Loss: 0.09969945635114397		 Val Loss: 0.38271665573120117
             Training MAE: 0.026988688856363297		 Val MAE: 0.02428167685866356
             Algebraic dist: 1.4700642177036831		 Val Algebraic dist: 3.0218496322631836
             Algebraic sqr dist: 4.990811593191964	  Val Algebraic sqr dist: 18.247957865397137
             RE1 dist: 2.495405796595982		 Val RE1 dist: 9.123978932698568
             SED dist: 0.9764396667480468		 Val SED dist: 3.81050713857015


Epoch 2207/2500: Training Loss: 0.10541019439697266		 Val Loss: 0.4187036355336507
             Training MAE: 0.026619495823979378		 Val MAE: 0.025403020903468132
             Algebraic dist: 1.5206029619489396		 Val Algebraic dist: 3.4308411280314126
             Algebraic sqr dist: 5.185947091238839	  Val Algebraic sqr dist: 21.637400309244793
             RE1 dist: 2.5929735456194196		 Val RE1 dist: 10.818700154622396
             SED dist: 1.033712659563337		 Val SED dist: 4.169486045837402


Epoch 2208/2500: Training Loss: 0.09677111761910574		 Val Loss: 0.3564635117848714
             Training MAE: 0.026481514796614647		 Val MAE: 0.024199016392230988
             Algebraic dist: 1.4066705976213727		 Val Algebraic dist: 2.917759895324707
             Algebraic sqr dist: 4.548852975027902	  Val Algebraic sqr dist: 17.54053243001302
             RE1 dist: 2.274426487513951		 Val RE1 dist: 8.77026621500651
             SED dist: 0.9476109095982143		 Val SED dist: 3.5479812622070312


Epoch 2209/2500: Training Loss: 0.09288407053266252		 Val Loss: 0.422995924949646
             Training MAE: 0.026239929720759392		 Val MAE: 0.02385936863720417
             Algebraic dist: 1.3352152143205915		 Val Algebraic dist: 3.3447834650675454
             Algebraic sqr dist: 4.198057774135044	  Val Algebraic sqr dist: 20.831302642822266
             RE1 dist: 2.099029105050223		 Val RE1 dist: 10.415651321411133
             SED dist: 0.9089411054338727		 Val SED dist: 4.2132568359375


Epoch 2210/2500: Training Loss: 0.0974771499633789		 Val Loss: 0.36166465282440186
             Training MAE: 0.027358638122677803		 Val MAE: 0.023928776383399963
             Algebraic dist: 1.392466517857143		 Val Algebraic dist: 2.8617798487345376
             Algebraic sqr dist: 4.3471296037946425	  Val Algebraic sqr dist: 17.133534749348957
             RE1 dist: 2.1735650198800225		 Val RE1 dist: 8.566767374674479
             SED dist: 0.9533858163016183		 Val SED dist: 3.600236256917318


Epoch 2211/2500: Training Loss: 0.09750709533691407		 Val Loss: 0.5244632959365845
             Training MAE: 0.026250435039401054		 Val MAE: 0.02400287427008152
             Algebraic dist: 1.3505822317940848		 Val Algebraic dist: 3.742466608683268
             Algebraic sqr dist: 4.348025948660714	  Val Algebraic sqr dist: 24.799278259277344
             RE1 dist: 2.174012974330357		 Val RE1 dist: 12.399639129638672
             SED dist: 0.9549366542271205		 Val SED dist: 5.228116671244304


Epoch 2212/2500: Training Loss: 0.10448493957519531		 Val Loss: 0.5366174777348837
             Training MAE: 0.026362357661128044		 Val MAE: 0.024672383442521095
             Algebraic dist: 1.4439072745186943		 Val Algebraic dist: 3.7701168060302734
             Algebraic sqr dist: 4.640984671456473	  Val Algebraic sqr dist: 33.92321268717448
             RE1 dist: 2.3204925537109373		 Val RE1 dist: 16.961605072021484
             SED dist: 1.0248536246163504		 Val SED dist: 5.349209467569987


Epoch 2213/2500: Training Loss: 0.13522659029279435		 Val Loss: 0.4482600688934326
             Training MAE: 0.027151592075824738		 Val MAE: 0.02570532262325287
             Algebraic dist: 1.7932785034179688		 Val Algebraic dist: 3.82621701558431
             Algebraic sqr dist: 6.988950020926339	  Val Algebraic sqr dist: 26.66199239095052
             RE1 dist: 3.4944750104631694		 Val RE1 dist: 13.33099619547526
             SED dist: 1.3313562665666854		 Val SED dist: 4.464781443277995


Epoch 2214/2500: Training Loss: 0.09975372041974749		 Val Loss: 0.36842620372772217
             Training MAE: 0.028204403817653656		 Val MAE: 0.02698851376771927
             Algebraic dist: 1.4860816955566407		 Val Algebraic dist: 3.0063304901123047
             Algebraic sqr dist: 5.12119140625	  Val Algebraic sqr dist: 19.41874059041341
             RE1 dist: 2.560595703125		 Val RE1 dist: 9.709370295206705
             SED dist: 0.9748079572405134		 Val SED dist: 3.6644322077433267


Epoch 2215/2500: Training Loss: 0.08740695544651576		 Val Loss: 0.3592840035756429
             Training MAE: 0.026389723643660545		 Val MAE: 0.024392753839492798
             Algebraic dist: 1.3155229840959821		 Val Algebraic dist: 2.8954060872395835
             Algebraic sqr dist: 4.0539010184151785	  Val Algebraic sqr dist: 17.218746185302734
             RE1 dist: 2.0269505092075892		 Val RE1 dist: 8.609373092651367
             SED dist: 0.854135731288365		 Val SED dist: 3.5758463541666665


Epoch 2216/2500: Training Loss: 0.09559518950326103		 Val Loss: 0.35009737809499103
             Training MAE: 0.02684001997113228		 Val MAE: 0.024155251681804657
             Algebraic dist: 1.3666751316615513		 Val Algebraic dist: 2.8846155802408853
             Algebraic sqr dist: 4.227965000697544	  Val Algebraic sqr dist: 16.644134521484375
             RE1 dist: 2.113982500348772		 Val RE1 dist: 8.322067896525065
             SED dist: 0.9351250784737724		 Val SED dist: 3.4841785430908203


Epoch 2217/2500: Training Loss: 0.1052647522517613		 Val Loss: 0.34650007883707684
             Training MAE: 0.02662944234907627		 Val MAE: 0.02530611865222454
             Algebraic dist: 1.4697036743164062		 Val Algebraic dist: 2.922902743021647
             Algebraic sqr dist: 4.908336094447544	  Val Algebraic sqr dist: 17.45080820719401
             RE1 dist: 2.454168047223772		 Val RE1 dist: 8.72540537516276
             SED dist: 1.03237795148577		 Val SED dist: 3.4475059509277344


Epoch 2218/2500: Training Loss: 0.09500808034624372		 Val Loss: 0.3645541270573934
             Training MAE: 0.026225484907627106		 Val MAE: 0.02523057721555233
             Algebraic dist: 1.3272198268345423		 Val Algebraic dist: 2.950172742207845
             Algebraic sqr dist: 3.9948272705078125	  Val Algebraic sqr dist: 16.928085327148438
             RE1 dist: 1.9974136352539062		 Val RE1 dist: 8.464042663574219
             SED dist: 0.9301768711635044		 Val SED dist: 3.6274871826171875


Epoch 2219/2500: Training Loss: 0.10773722784859793		 Val Loss: 0.34561240673065186
             Training MAE: 0.028644628822803497		 Val MAE: 0.024865956977009773
             Algebraic dist: 1.4505702427455358		 Val Algebraic dist: 2.8555885950724282
             Algebraic sqr dist: 4.764346313476563	  Val Algebraic sqr dist: 17.07443364461263
             RE1 dist: 2.382173374720982		 Val RE1 dist: 8.537217458089193
             SED dist: 1.0533817836216517		 Val SED dist: 3.4391797383626304


Epoch 2220/2500: Training Loss: 0.09153778893607004		 Val Loss: 0.34768354892730713
             Training MAE: 0.026093516498804092		 Val MAE: 0.024948516860604286
             Algebraic dist: 1.3205303737095424		 Val Algebraic dist: 2.8322178522745767
             Algebraic sqr dist: 3.9673985072544644	  Val Algebraic sqr dist: 15.654942830403646
             RE1 dist: 1.9836992536272322		 Val RE1 dist: 7.827471415201823
             SED dist: 0.8955243791852678		 Val SED dist: 3.4596405029296875


Epoch 2221/2500: Training Loss: 0.09211631502423967		 Val Loss: 0.35050217310587567
             Training MAE: 0.026537951081991196		 Val MAE: 0.0242899302393198
             Algebraic dist: 1.3264549255371094		 Val Algebraic dist: 2.7280667622884116
             Algebraic sqr dist: 3.9937042236328124	  Val Algebraic sqr dist: 16.60248565673828
             RE1 dist: 1.9968521118164062		 Val RE1 dist: 8.30124282836914
             SED dist: 0.900760269165039		 Val SED dist: 3.488203684488932


Epoch 2222/2500: Training Loss: 0.10111615998404366		 Val Loss: 0.37821487585703534
             Training MAE: 0.026775747537612915		 Val MAE: 0.024666279554367065
             Algebraic dist: 1.3894075666155135		 Val Algebraic dist: 2.9442930221557617
             Algebraic sqr dist: 4.367356654575893	  Val Algebraic sqr dist: 16.109968821207683
             RE1 dist: 2.1836783272879465		 Val RE1 dist: 8.054984410603842
             SED dist: 0.9901800973074777		 Val SED dist: 3.764897664388021


Epoch 2223/2500: Training Loss: 0.11335538455418177		 Val Loss: 0.352697491645813
             Training MAE: 0.027505245059728622		 Val MAE: 0.026971042156219482
             Algebraic dist: 1.5118069240025112		 Val Algebraic dist: 2.8448349634806314
             Algebraic sqr dist: 5.107801600864955	  Val Algebraic sqr dist: 17.92498016357422
             RE1 dist: 2.5539008004324777		 Val RE1 dist: 8.96249008178711
             SED dist: 1.1117734636579242		 Val SED dist: 3.508012135823568


Epoch 2224/2500: Training Loss: 0.09524594715663365		 Val Loss: 0.46403026580810547
             Training MAE: 0.027047021314501762		 Val MAE: 0.023748770356178284
             Algebraic dist: 1.3567601885114398		 Val Algebraic dist: 3.4261932373046875
             Algebraic sqr dist: 4.261217825753349	  Val Algebraic sqr dist: 20.671951293945312
             RE1 dist: 2.1306089128766743		 Val RE1 dist: 10.335975646972656
             SED dist: 0.9313024248395647		 Val SED dist: 4.623960177103679


Epoch 2225/2500: Training Loss: 0.10807954243251255		 Val Loss: 0.36521049340566
             Training MAE: 0.027699891477823257		 Val MAE: 0.024078212678432465
             Algebraic dist: 1.4637190682547434		 Val Algebraic dist: 2.8933397928873696
             Algebraic sqr dist: 4.89067862374442	  Val Algebraic sqr dist: 19.456309000651043
             RE1 dist: 2.44533931187221		 Val RE1 dist: 9.728154500325521
             SED dist: 1.058650861467634		 Val SED dist: 3.6352834701538086


Epoch 2226/2500: Training Loss: 0.10274506977626256		 Val Loss: 0.36668447653452557
             Training MAE: 0.026597661897540092		 Val MAE: 0.02480078861117363
             Algebraic dist: 1.4283473423549107		 Val Algebraic dist: 2.8514369328816733
             Algebraic sqr dist: 4.5616524832589285	  Val Algebraic sqr dist: 16.524856567382812
             RE1 dist: 2.2808262416294642		 Val RE1 dist: 8.262428919474283
             SED dist: 1.0069246564592633		 Val SED dist: 3.6499106089274087


Epoch 2227/2500: Training Loss: 0.09681613104684013		 Val Loss: 0.36146823565165204
             Training MAE: 0.028548361733555794		 Val MAE: 0.02366010844707489
             Algebraic dist: 1.340948486328125		 Val Algebraic dist: 2.801034927368164
             Algebraic sqr dist: 4.105685424804688	  Val Algebraic sqr dist: 16.118855794270832
             RE1 dist: 2.052842712402344		 Val RE1 dist: 8.059427897135416
             SED dist: 0.9442586626325334		 Val SED dist: 3.598735809326172


Epoch 2228/2500: Training Loss: 0.08982763290405274		 Val Loss: 0.3512328068415324
             Training MAE: 0.025878477841615677		 Val MAE: 0.024995330721139908
             Algebraic dist: 1.2689967564174107		 Val Algebraic dist: 2.736699422200521
             Algebraic sqr dist: 3.8212655203683035	  Val Algebraic sqr dist: 15.436155954996744
             RE1 dist: 1.9106327601841517		 Val RE1 dist: 7.718077977498372
             SED dist: 0.878703362601144		 Val SED dist: 3.494741121927897


Epoch 2229/2500: Training Loss: 0.12391905103410994		 Val Loss: 0.36035911242167157
             Training MAE: 0.026108577847480774		 Val MAE: 0.031082700937986374
             Algebraic dist: 1.551223427908761		 Val Algebraic dist: 2.938152313232422
             Algebraic sqr dist: 5.29948250906808	  Val Algebraic sqr dist: 17.229427337646484
             RE1 dist: 2.64974125453404		 Val RE1 dist: 8.61471430460612
             SED dist: 1.218913378034319		 Val SED dist: 3.5768308639526367


Epoch 2230/2500: Training Loss: 0.13442021778651647		 Val Loss: 0.40027109781901044
             Training MAE: 0.028897736221551895		 Val MAE: 0.024763310328125954
             Algebraic dist: 1.7523617335728237		 Val Algebraic dist: 3.116532325744629
             Algebraic sqr dist: 6.688795689174107	  Val Algebraic sqr dist: 18.387301127115887
             RE1 dist: 3.3443980625697542		 Val RE1 dist: 9.193649927775065
             SED dist: 1.3201696123395648		 Val SED dist: 3.9857794443766275


Epoch 2231/2500: Training Loss: 0.1134565898350307		 Val Loss: 0.3417470455169678
             Training MAE: 0.02873300202190876		 Val MAE: 0.026518002152442932
             Algebraic dist: 1.5870474679129465		 Val Algebraic dist: 2.8584111531575522
             Algebraic sqr dist: 5.820745413643973	  Val Algebraic sqr dist: 18.226212819417317
             RE1 dist: 2.9103731427873885		 Val RE1 dist: 9.113106409708658
             SED dist: 1.110878426688058		 Val SED dist: 3.3976895014444985


Epoch 2232/2500: Training Loss: 0.11786373683384486		 Val Loss: 0.3675876458485921
             Training MAE: 0.02708170935511589		 Val MAE: 0.026420751586556435
             Algebraic dist: 1.645084490094866		 Val Algebraic dist: 3.1017322540283203
             Algebraic sqr dist: 6.001133074079241	  Val Algebraic sqr dist: 19.237382253011067
             RE1 dist: 3.0005665370396204		 Val RE1 dist: 9.618691126505533
             SED dist: 1.157956259591239		 Val SED dist: 3.657451629638672


Epoch 2233/2500: Training Loss: 0.1018164907182966		 Val Loss: 0.4794007937113444
             Training MAE: 0.027162281796336174		 Val MAE: 0.02516378089785576
             Algebraic dist: 1.5004269191196986		 Val Algebraic dist: 3.7353439331054688
             Algebraic sqr dist: 5.187257603236607	  Val Algebraic sqr dist: 25.005699157714844
             RE1 dist: 2.5936288016183036		 Val RE1 dist: 12.502849578857422
             SED dist: 0.9973066057477679		 Val SED dist: 4.776889165242513


Epoch 2234/2500: Training Loss: 0.09823741231645856		 Val Loss: 0.3956868251164754
             Training MAE: 0.027446871623396873		 Val MAE: 0.02568144164979458
             Algebraic dist: 1.4378657749720982		 Val Algebraic dist: 2.9629640579223633
             Algebraic sqr dist: 4.667383684430804	  Val Algebraic sqr dist: 20.16460673014323
             RE1 dist: 2.333691842215402		 Val RE1 dist: 10.082303365071615
             SED dist: 0.9610295976911273		 Val SED dist: 3.938389460245768


Epoch 2235/2500: Training Loss: 0.10088471003941127		 Val Loss: 0.4066551129023234
             Training MAE: 0.02748097851872444		 Val MAE: 0.02446008287370205
             Algebraic dist: 1.464900861467634		 Val Algebraic dist: 3.0845371882120767
             Algebraic sqr dist: 4.8620378766741075	  Val Algebraic sqr dist: 18.148375193277996
             RE1 dist: 2.4310189383370537		 Val RE1 dist: 9.074188232421875
             SED dist: 0.987138911655971		 Val SED dist: 4.049718856811523


Epoch 2236/2500: Training Loss: 0.09610258511134556		 Val Loss: 0.504517118136088
             Training MAE: 0.026271797716617584		 Val MAE: 0.02887420728802681
             Algebraic dist: 1.377480207170759		 Val Algebraic dist: 3.5380128224690757
             Algebraic sqr dist: 4.357253592354911	  Val Algebraic sqr dist: 21.845077514648438
             RE1 dist: 2.1786267961774555		 Val RE1 dist: 10.922538757324219
             SED dist: 0.9409696306501116		 Val SED dist: 5.022141774495442


Epoch 2237/2500: Training Loss: 0.1147575787135533		 Val Loss: 0.3579266468683879
             Training MAE: 0.027499008923768997		 Val MAE: 0.023790528997778893
             Algebraic dist: 1.5887430463518415		 Val Algebraic dist: 2.970510164896647
             Algebraic sqr dist: 5.514096505301339	  Val Algebraic sqr dist: 18.89590072631836
             RE1 dist: 2.7570486886160714		 Val RE1 dist: 9.44795036315918
             SED dist: 1.1261337280273438		 Val SED dist: 3.562969525655111


Epoch 2238/2500: Training Loss: 0.10577319008963448		 Val Loss: 0.34864850838979083
             Training MAE: 0.026842547580599785		 Val MAE: 0.024589383974671364
             Algebraic dist: 1.4967938014439175		 Val Algebraic dist: 2.8623259862264
             Algebraic sqr dist: 5.035004970005581	  Val Algebraic sqr dist: 19.004141489664715
             RE1 dist: 2.5175024850027903		 Val RE1 dist: 9.502070744832357
             SED dist: 1.0371771676199777		 Val SED dist: 3.4695971806844077


Epoch 2239/2500: Training Loss: 0.10119298526218959		 Val Loss: 0.6238708098729452
             Training MAE: 0.026304880157113075		 Val MAE: 0.028603410348296165
             Algebraic dist: 1.4292188371930803		 Val Algebraic dist: 4.325174013773601
             Algebraic sqr dist: 4.648855590820313	  Val Algebraic sqr dist: 32.91649881998698
             RE1 dist: 2.3244277954101564		 Val RE1 dist: 16.45824940999349
             SED dist: 0.9918443952287946		 Val SED dist: 6.216590245564778


Epoch 2240/2500: Training Loss: 0.17401541301182338		 Val Loss: 0.3984495798746745
             Training MAE: 0.02826058678328991		 Val MAE: 0.026307957246899605
             Algebraic dist: 2.2165073939732145		 Val Algebraic dist: 3.5168161392211914
             Algebraic sqr dist: 10.224342564174107	  Val Algebraic sqr dist: 28.12828318277995
             RE1 dist: 5.112171282087053		 Val RE1 dist: 14.064141591389975
             SED dist: 1.7174358912876675		 Val SED dist: 3.966083526611328


Epoch 2241/2500: Training Loss: 0.10547084808349609		 Val Loss: 0.3599754174550374
             Training MAE: 0.028622331097722054		 Val MAE: 0.026939338073134422
             Algebraic dist: 1.6048104422433036		 Val Algebraic dist: 3.1130202611287436
             Algebraic sqr dist: 5.9509957449776785	  Val Algebraic sqr dist: 22.04382578531901
             RE1 dist: 2.9754978724888392		 Val RE1 dist: 11.021912892659506
             SED dist: 1.0316625322614397		 Val SED dist: 3.580545425415039


Epoch 2242/2500: Training Loss: 0.098630918775286		 Val Loss: 0.4032889207204183
             Training MAE: 0.02807452529668808		 Val MAE: 0.02723623998463154
             Algebraic dist: 1.4609883989606585		 Val Algebraic dist: 3.2682711283365884
             Algebraic sqr dist: 4.936641148158482	  Val Algebraic sqr dist: 20.60053888956706
